model_name	species	taxid
DR_LSU_3D	Deinococcus radiodurans	1299
BS_LSU_3D	Bacillus subtilis	1423
cSO_23S_3D	Spinacia oleracea	3562	chloroplast
DD_28S_3D	Dictyostelium discoideum	44689
DM_LSU_3D	Drosophila melanogaster	7227
EC_LSU_3D	Escherichia coli	562
HM_LSU_3D	Haloarcula marismortui	2238
HS_LSU_3D	Homo sapiens	9606
KL_LSU_3D	Kluyveromyces lactis	28985
mHS_LSU_3D	Homo sapiens	9606	mito
MS_LSU_3D	Mycolicibacterium smegmatis	1772
MT_LSU_3D	Mycobacterium tuberculosis	1773
PF_LSU_3D	Plasmodium falciparum	5833
SA_LSU_3D	Staphylococcus aureus	1280
SC_LSU_3D	Saccharomyces cerevisiae	4932
TeT_LSU_3D	Tetrahymena thermophila	5911
TT_LSU_3D	Thermus thermophilus	274
mt_TetT_LSU_3D	Tetrahymena thermophila	5911	mito
F3H4_G_18380	Lokiarcheaota F3H4	1655434
GC14_75	Lokiarcheaota GC14	1538547
